ckpt_filename,validity,uniqueness,diversity,quality,quality2,sample_time,status,gpu_id
"0-196000.ckpt",1.000000,0.929000,0.830,0.778000,0.926000,13.796,OK,5
"0-202000.ckpt",0.999000,0.929000,0.831,0.804000,0.932000,13.734,OK,5
"0-28000.ckpt",0.998000,0.949000,0.829,0.856000,0.949000,14.217,OK,5
"0-35000.ckpt",0.999000,0.933000,0.827,0.847000,0.938000,13.893,OK,5
"0-42000.ckpt",0.999000,0.940000,0.831,0.826000,0.933000,13.513,OK,5
"0-5000-v1.ckpt",0.999000,0.874000,0.811,0.834000,0.902000,13.540,OK,5
"0-56000.ckpt",0.999000,0.933000,0.830,0.805000,0.927000,13.726,OK,5
"0-63000.ckpt",0.997000,0.920000,0.834,0.778000,0.909000,13.656,OK,5
"0-70000.ckpt",0.999000,0.942000,0.833,0.807000,0.935000,13.684,OK,5
"0-78000.ckpt",1.000000,0.931000,0.833,0.797000,0.920000,13.625,OK,5
"0-85000.ckpt",0.998000,0.945000,0.831,0.803000,0.934000,14.290,OK,5
"0-92000.ckpt",0.999000,0.930000,0.828,0.810000,0.928000,14.006,OK,5
"1-203000.ckpt",0.999000,0.933000,0.829,0.783000,0.936000,14.036,OK,5
"1-211000.ckpt",1.000000,0.935000,0.833,0.769000,0.924000,13.604,OK,5
"1-219000.ckpt",1.000000,0.935000,0.830,0.794000,0.929000,13.698,OK,5
"1-227000.ckpt",1.000000,0.928000,0.828,0.781000,0.921000,14.348,OK,5
"1-235000.ckpt",1.000000,0.931000,0.827,0.780000,0.921000,14.437,OK,5
"1-243000.ckpt",1.000000,0.926000,0.828,0.768000,0.919000,13.770,OK,5
"1-251000.ckpt",1.000000,0.934000,0.828,0.779000,0.921000,13.847,OK,5
"1-259000.ckpt",1.000000,0.929000,0.827,0.775000,0.920000,13.459,OK,5
"1-267000.ckpt",1.000000,0.923000,0.826,0.792000,0.928000,13.985,OK,5
"1-275000.ckpt",1.000000,0.932000,0.827,0.787000,0.931000,13.766,OK,5
"1-283000.ckpt",1.000000,0.928000,0.829,0.787000,0.932000,13.903,OK,5
"1-291000.ckpt",1.000000,0.925000,0.830,0.788000,0.926000,13.963,OK,5
"1-299000.ckpt",1.000000,0.927000,0.831,0.784000,0.926000,13.520,OK,5
"last-v1.ckpt",1.000000,0.960000,0.821,0.878000,0.971000,13.416,OK,5
"0-103000.ckpt",1.000000,0.956000,0.829,0.811000,0.946000,15.548,OK,6
"0-110000.ckpt",0.998000,0.954000,0.830,0.805000,0.933000,14.329,OK,6
